Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD200C*,1.0,1.15,12.0,47.6,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD100C*,1.0,1.15,12.0,47.6,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD205C*,1.0,1.15,12.0,47.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sCx50(3B),2036*81*,3.8,1.57,6.5,41.4,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sMx50(3B),ITW4880H**,3.8,1.57,6.5,40.8,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4950H**,3.9,1.57,6.5,40.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sBx50(3B),MVWC465H**,3.8,1.57,6.5,39.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No
RCA,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM120-S2003GPS/M-13-K4,RPW302,3.0,1.29,8.4,39.7,No,No
RCA,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE100-S2002GPS/M-13 -K4,RPW250,2.5,1.29,8.4,44.0,No,No
Midea,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE70-502PS/01M-US13-K4,MAE70-502PS,2.0,1.29,8.4,38.0,No,No
CONSERVATOR,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE70-502PS/01M-US13-K4,VPW21063AW,2.0,1.29,8.4,38.0,No,No
RCA,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE70-502PS/02M-RC13,RPW210-B,2.0,1.29,8.4,38.0,No,No
Magic Chef,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM70-502PS/01M-US13,MCSTCW21S3,2.0,1.29,8.4,38.0,No,No
Midea,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/01M-US13,MAE50-1102PS,1.6,1.29,8.4,39.9,No,No
CONSERVATOR,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/01M-US13,VPW16063AW,1.6,1.29,8.4,39.9,No,No
RCA,"Top-loading, standard (1.6 ft3 or greater capacity)",MAE50-1102PS/04M-RC13,RPW160-B,1.6,1.29,8.4,39.9,No,No
Magic Chef,"Top-loading, standard (1.6 ft3 or greater capacity)",MAM50-1102PS/01M-US13,MCSTCW16S3,1.6,1.29,8.4,39.9,No,No
Panda,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501GP/US13-K4,PAN30SW,0.9,0.86,14.4,44.5,No,No
Midea,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501GP/US13-K4,MAR30-P0501GP,0.9,0.86,14.4,44.5,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pCJ50(3B),2513*41*,4.3,1.57,6.5,47.1,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pAJ50(3B),WTW5000D**,4.3,1.57,6.5,45.3,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17pBj50(3B),MVWC565F**,4.2,1.57,6.5,46.1,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17rBn50(3B),MVWC416F**,3.6,1.57,6.5,42.9,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17rCn50(3B),2224*51*,3.6,1.57,6.5,42.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nAh50(3B),WTW4816F**,3.5,1.57,6.5,45.1,No,No
Amana,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nDh50(3B),NTW4665G**,3.5,1.57,6.5,44.5,No,No
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nEh50(3B),CAW35114G**,3.5,1.57,6.5,44.4,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V17nMh50(3B),ITW4871F**,3.5,1.57,6.5,44.2,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M38A_2_M,GUD27ESSM***,3.8,1.57,6.5,38.1,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M23A_2_M,GUD24GSSM***,2.3,1.57,6.5,40.3,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM98400SX,WM98400SX,2.5,2.29,3.6,30.8,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM77120,WM77120,2.0,2.08,3.5,32.6,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM77120NBL01,WM77120NBL01,2.0,2.08,3.5,32.6,No,No
Blomberg,"Front-loading, standard (1.6 ft3 or greater capacity)",WM98200SX2,WM98200SX2,2.5,2.29,3.6,30.8,No,No
Beko,"Front-loading, standard (1.6 ft3 or greater capacity)",WTE7604XLW0,WTE7604XLW0,2.0,2.08,3.5,32.6,No,No
Beko,"Front-loading, standard (1.6 ft3 or greater capacity)",WMY10148C2,WMY10148C2,2.5,2.29,3.6,30.8,No,No
AVANTI,"Top-loading, compact (less than 1.6 ft3 capacity)",MAR30-P0501GP/US13-K4,TLW09W,0.9,0.86,14.4,44.5,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R15,AFNE9BSP115+,3.4,2.38,3.7,35.1,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R15,AFNE9RSP115+,3.4,2.38,3.7,35.1,No,No
Speed Queen,"Front-loading, standard (1.6 ft3 or greater capacity)",R15,ATGE9ASP115+,3.4,2.38,3.7,35.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",3143#,3143#,5.0,2.38,3.7,30.8,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EFLS617****,EFLS617****,4.4,2.92,3.2,29.4,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EFLW317****,EFLW317****,4.3,2.38,3.7,35.0,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLE3911***,FFLE3911***,3.8,2.06,4.3,35.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLE3911***,417.6171*51*,3.8,2.06,4.3,35.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLE3911***,417.7171*51*,3.8,2.06,4.3,35.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLG4033***,417.7172*51*,3.8,2.06,4.3,35.6,No,No
Crosley,"Top-loading, standard (1.6 ft3 or greater capacity)",FFLE3911***,CLCE600***,3.8,2.06,4.3,35.1,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EIFLS20****,EIFLS20****,2.4,2.13,3.8,32.7,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",EIFLS20****,417.4191*51*,2.4,2.13,3.8,32.7,No,No
Electrolux,"Front-loading, standard (1.6 ft3 or greater capacity)",EIFLS20****,EFLS210****,2.4,2.13,3.8,32.7,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",EIFLS20****,417.4194*71*,2.4,2.13,3.8,32.7,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",MAD160-A2801GPS/FM-USE,FFTW4120***,4.1,1.57,6.5,38.5,No,No
Frigidaire,"Front-loading, standard (1.6 ft3 or greater capacity)",FFFS5115***,FFFS5115***,3.8,2.44,3.0,32.7,No,No
Frigidaire,"Front-loading, standard (1.6 ft3 or greater capacity)",FFFW5100***,FFFW5000***,3.9,2.52,3.0,32.7,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",FFFW5100***,417.4112*41*,3.9,2.52,3.0,32.7,No,No
Frigidaire,"Top-loading, standard (1.6 ft3 or greater capacity)",FAHE4045***,FAHE4045***,3.0,1.29,8.4,46.7,No,No
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,SPWD2200W,2.0,1.85,4.6,34.1,No,No
Magic Chef,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,?MCSCWD20S3,2.0,1.85,4.6,34.1,No,No
Dometic,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,WDCVLB2,2.0,1.85,4.6,34.1,No,No
Dometic,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,WDCVLS2,2.0,1.85,4.6,34.1,No,No
Contoure,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,RV-WD800S,2.0,1.85,4.6,34.1,No,No
MIDEA,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,US-FC70-DS12DSH,2.0,1.85,4.6,34.1,No,No
SUMMIT,"Front-loading, standard (1.6 ft3 or greater capacity)",US-FC70-DS12DSH/C0401E,SPWD2201SS,2.0,1.85,4.6,34.1,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA52J870*A*,WA52J870*A*,5.2,2.28,3.8,35.5,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF56H91**C*,WF56H91**C*,5.6,2.8,2.8,27.3,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA48H74**A*,WA48H74**A*,4.8,2.21,3.9,36.4,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45H70**A*,WA45H70**A*,4.5,2.06,3.8,40.3,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA56H90**A*,WA56H90**A*,5.6,2.3,4.2,34.6,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA54M87**A*,WA54M87**A*,5.4,2.06,4.3,40.0,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50M74**A*,WA50M74**A*,5.0,2.06,4.3,42.1,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45M55**A*,WF45M55**A*,4.5,2.92,2.9,29.0,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45M51**A*,WF45M51**A*,4.5,3.0,2.9,29.5,No,No
SAMSUNG,"Top-loading, compact (less than 1.6 ft3 capacity)",WV55M96**A*-U,WV55M96**A*-U,1.0,1.15,12.0,44.6,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WV55M96**A*-L,WV55M96**A*-L,4.5,2.92,2.9,29.0,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF50K75**A*,WF50K75**A*,5.0,2.92,2.9,29.6,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45K65**A*,WF45K65**A*,4.5,2.8,3.0,30.4,No,No
SAMSUNG,"Front-loading, standard (1.6 ft3 or greater capacity)",WF45K62**A*,WF45K62**A*,4.5,2.92,2.9,30.6,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA45K76**A*,WA45K76**A*,4.5,2.06,4.3,40.1,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA50K86**A*,WA50K86**A*,5.0,2.38,3.7,36.3,No,No
SAMSUNG,"Top-loading, standard (1.6 ft3 or greater capacity)",WA40J300*A*,WA40J300*A*,4.0,1.29,8.4,41.9,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*,WD200C*,1.0,0.86,14.4,57.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",4116####,WM3170C*,4.3,2.85,2.9,28.7,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3370H*A,WM3370H*A,4.3,2.76,3.2,29.8,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3570H*A,WM3570H*A,4.3,2.76,3.2,27.3,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3575C*+,WM3575C*,4.5,2.92,3.2,28.8,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,WM4270H*A,4.5,2.92,3.2,28.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM8500H**,WM8000H**,5.2,2.74,2.9,29.0,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM8500H**,WM8500H**,5.2,2.74,2.9,29.0,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM9000H*A,WM9000H*A,5.2,2.92,3.2,28.8,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1301C*,WT1301C*,4.5,2.38,3.7,33.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1801H*A+,WT1801H*A,4.9,2.38,3.7,31.4,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT4970C*,WT4970C*,4.5,2.06,4.3,35.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5480C*+,WT5480C*,5.0,2.76,3.5,31.3,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5680H*A,WT5680H*A,5.0,2.38,3.7,29.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7700H*A,WT7700H*A,5.7,2.76,3.2,28.0,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7700H*A,WT7710H*A,5.7,2.76,3.2,28.0,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*,WD205C*,1.0,0.86,14.4,57.1,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7600H*A,WT7600H*A,5.2,2.38,3.7,29.9,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7500C*,WT7500C*,5.2,2.38,3.7,33.0,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,WM3770H*A,4.5,2.92,3.2,28.1,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3670H*A,WM3670H*A,4.5,2.92,3.2,29.8,No,No
LG,"Top-loading, standard (1.6 ft3 or greater capacity)",WT1501C*,WT1150C*,4.5,2.38,3.7,36.0,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3488H*,WM3488H*,2.3,2.07,4.2,33.4,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM9500H*A,WM9500H*A,5.8,2.92,3.2,27.5,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3270C*,WM3275C*,4.5,2.92,3.2,29.5,No,No
LG SIGNATURE,"Top-loading, compact (less than 1.6 ft3 capacity)",LUWD1C*,LUWD1C*,0.7,0.86,14.4,51.5,No,No
LG SIGNATURE,"Front-loading, standard (1.6 ft3 or greater capacity)",LUWM101H*A,LUWM101H*A,2.8,1.84,4.7,30.9,No,No
LG,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3270C*,WM3180C*,4.5,2.92,3.2,29.5,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5270C*,3142#41#,4.9,2.76,3.5,32.3,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4116####,4116####,4.3,2.85,2.9,28.7,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4148####,4148####,4.5,2.5,2.9,29.0,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,4158####,4.5,2.83,2.9,28.1,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT5680H*A,3146#,5.0,2.38,3.7,29.0,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4116####,4116#,4.3,2.85,2.9,28.7,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4148####,4148#,4.5,2.5,2.9,29.0,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,4158#,4.5,2.92,3.2,28.1,No,No
Kenmore,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*,5197#,1.0,0.86,14.4,57.1,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3270H*A,4126#,4.5,2.92,3.2,29.5,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3575C*,4148#,4.5,2.83,3.2,28.8,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM3370H*A+,4138#,4.3,2.76,3.2,29.8,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4196#,4196#,5.2,2.92,3.2,27.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",WT7600H*A,3155#,5.2,2.38,3.7,29.9,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",WM4270H*A,4168#,4.5,2.92,3.2,28.1,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4100#,4100#,4.5,2.76,3.2,29.4,No,No
Kenmore,"Front-loading, standard (1.6 ft3 or greater capacity)",4198#,4198#,5.2,2.76,3.2,27.6,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",G49F_4_K,GFW490R*K***,4.9,2.76,2.8,27.4,No,No
GE,"Front-loading, standard (1.6 ft3 or greater capacity)",L43F_4_J,GFWN1600J***,4.3,2.38,3.2,33.3,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G45A_2_L,GTW685B*L***,4.5,2.06,4.3,36.2,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",G50I_2_L,GTW750C*L***,5.0,2.06,4.3,37.1,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M20A_2_J,GUD24ESSJ***,2.0,1.34,8.0,48.3,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M20A_2_J,GUD24GSSJ***,2.0,1.34,8.0,48.3,No,No
GE,"Top-loading, standard (1.6 ft3 or greater capacity)",M32A_2_J,GUD27ESSJ***,3.2,1.31,7.0,50.2,No,No
Haier,"Top-loading, compact (less than 1.6 ft3 capacity)",HLP24E,HLP24E,1.5,1.16,9.0,47.6,No,No
