ES_ID,Brand_Name,Model_Name,Model_Number,Additional_Model_Information,UPC,Type,HeatPumpTech,Voltage,Drum_Capacity,Height,Width,Depth,Combined_Energy_Factor,Estimated_Annual_Energy_Use,Estimated_Energy_Test_Cycle_Time_minutes,Energy_Test_Cycle_Information,Additional_Dryer_Features,VentedORVentless,Connected,Connects_Using,V,W,CEF_Max_Dryness,Paired_Washer,Z,Market_Date,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2266034,Whirlpool,WED7540FW*,WED7540FW*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WED7540FW*_05032016215308_2388863,No
2266006,Whirlpool,WED7590FW*,WED7590FW*,,8,Electric,,,7.4,38,27,31,3.93,608,69,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW7590F**_11062015014728_70052530,6/1/2016,4/28/2016,United States,ES_22856_WED7590FW*_05032016181633_9393419,No
2266035,Whirlpool,WED75HEFW*,WED75HEFW*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WED75HEFW*_05032016215846_2726787,No
2266021,Whirlpool,WED7990FW*,WED7990FW*,,8.83E+11,Electric,Hybrid Heat Pump,,7.4,38,27,31,4.5,531,75,"NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Drum light,Supplementary Drying System,Time remaining display,Wrinkle prevention option,Other,Filter cleaning indicator,Sanitization cycle",Ventless,No,,,,4.44,Yes,2265441,11/1/2015,4/28/2016,United States,ES_22856_WED7990FW*_05032016210548_9548975,Yes
2266007,Whirlpool,WED8000D*+,WED8000D*+,,8,Electric,,,8.8,42,29,32,3.93,608,64,"ECOBOOST NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WTW8000D*+_10032014035931_2767884,6/1/2016,4/28/2016,United States,ES_22856_WED8000D*+_05032016182429_9869058,No
2266014,Whirlpool,WED81HED*+,WED81HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW81HED*+_02102015015120_70023227,6/1/2016,4/28/2016,United States,ES_22856_WED81HED*+_05032016195950_5590102,No
2266008,Whirlpool,WED8500D*+,WED8500D*+,,8,Electric,,,8.8,42,29,32,3.93,608,64,"ECOBOOST NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WTW8500D*+_10032014035931_2767884,6/1/2016,4/28/2016,United States,ES_22856_WED8500D*+_05032016182742_0062788,No
2282560,Whirlpool,WED8510FW*,WED8510FW*,,8.83E+11,Electric,,,8.8,45,29,32,3.93,608,67,"MIXED, NORMAL CYCLE, ECOBOOST, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,MVWB855DW0,3/8/2016,10/27/2016,United States,ES_22856_WED8510FW*_10272016173353_9633607,No
2282562,Whirlpool,WED8540FW*,WED8540FW*,,8.83E+11,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,WFW8540FW0,3/8/2016,10/27/2016,United States,ES_22856_WED8540FW*_10272016175833_1113446,No
2282563,Whirlpool,WED85HEFBL*,WED85HEFBL*,,8.83E+11,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,WFW85HEBL0,3/8/2016,10/27/2016,United States,ES_22856_WED85HEFBL*_10272016174848_0528075,No
2282564,Whirlpool,WED85HEFC*,WED85HEFC*,,8.83E+11,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,WFW85HEFC0,3/8/2016,10/27/2016,United States,ES_22856_WED85HEFC*_10272016174641_0401920,No
2282565,Whirlpool,WED85HEFW*,WED85HEFW*,,8.83E+11,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Sanitization cycle",Vented,No,,,,,Yes,WFW85HEFW0,3/8/2016,10/27/2016,United States,ES_22856_WED85HEFW*_10272016174516_0316219,No
2266012,Whirlpool,WED8700E**,WED8700E**,,8,Electric,,,8.8,42,29,32,3.93,608,64,"ECOBOOST, NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,Yes,Wi-Fi,Other,No,,Yes,ES_0022856_WTW8700E**_04012015081728_70027607,6/1/2016,4/28/2016,United States,ES_22856_WED8700E**_05032016193738_4258822,No
2266015,Whirlpool,WED8740D*+,WED8740D*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW8740D*+_02102015015120_70023227,6/1/2016,4/28/2016,United States,ES_22856_WED8740D*+_05032016200233_5753921,No
2266016,Whirlpool,WED87HED*+,WED87HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW87HED*+_02102015015120_70023227,6/1/2016,4/28/2016,United States,ES_22856_WED87HED*+_05032016201405_6445211,No
2266020,Whirlpool,WED87HED*+,WED87HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,66,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW87HED*+_02102015015120_70023227,6/1/2016,4/28/2016,United States,ES_22856_WED87HED*+_05032016204014_8014653,No
2266036,Whirlpool,WED90HEFC*,WED90HEFC*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW90HEF**_C_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED90HEFC*_05032016220929_3369874,No
2266037,Whirlpool,WED90HEFW*,WED90HEFW*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW90HEF**_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED90HEFW*_05032016221206_3526236,No
2266022,Whirlpool,WED9290FC*,WED9290FC*,,8.83E+11,Electric,Hybrid Heat Pump,,7.4,38,27,31,4.5,531,75,"NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Drum light,Supplementary Drying System,Time remaining display,Wrinkle prevention option,Other,Filter cleaning indicator,Sanitization cycle",Ventless,No,,,,4.43,Yes,2265445,11/1/2015,4/28/2016,United States,ES_22856_WED9290FC*_05032016210958_9798020,Yes
2266023,Whirlpool,WED9290FW*,WED9290FW*,,8.83E+11,Electric,Hybrid Heat Pump,,7.4,38,27,31,4.5,531,75,"NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Drum light,Supplementary Drying System,Time remaining display,Wrinkle prevention option,Other,Filter cleaning indicator,Sanitization cycle",Ventless,No,,,,4.43,Yes,2265445,11/1/2015,4/28/2016,United States,ES_22856_WED9290FW*_05032016211140_9900631,Yes
2266038,Whirlpool,WED92HEFBD*,WED92HEFBD*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_BD_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED92HEFBD*_05032016222042_4042682,No
2266039,Whirlpool,WED92HEFBD*,WED92HEFC*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_C_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED92HEFC*_05032016222409_4249606,No
2266040,Whirlpool,WED92HEFU*,WED92HEFU*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_U_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED92HEFU*_05032016222642_4402019,No
2266041,Whirlpool,WED92HEFW*,WED92HEFW*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_12072015113037_70054797,6/1/2016,4/28/2016,United States,ES_22856_WED92HEFW*_05032016222946_4586388,No
2266053,Whirlpool,WED9500EC*,WED9500EC*,,8,Electric,,,9.2,41,29,33,3.93,608,74,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WED9500EC*_05032016230924_6964395,No
2266054,Whirlpool,WED9500EW*,WED9500EW*,,8,Electric,,,9.2,41,29,33,3.93,608,74,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WED9500EW*_05032016231046_7046045,No
2266091,Whirlpool,WED95HED*+,WED95HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW95HED*+_03252014114036_2713436,6/1/2016,4/28/2016,United States,ES_22856_WED95HED*+_05042016154050_6450915,No
2266005,Whirlpool,WED9750EW*,WED9750EW*,,8.83E+11,Electric,,,7.3,38,27,30,3.93,608,75,"NORMAL CYCLE, ENERGY SAVER, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,12/2/2015,10/27/2016,United States,ES_22856_WED9750EW*_05032016180201_8521916,No
2266092,Whirlpool,WED97HED*+,WED97HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW97HED*+_05212ES_0022856_WFW95HED*+_03252014114036_2713436,6/1/2016,4/28/2016,United States,ES_22856_WED97HED*+_05042016154848_6928419,No
2266096,Whirlpool,WED99HED*+,WED99HED*+,,8,Electric,,,7.3,38,27,30,4.5,531,71,"ECO, NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL",Other,Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WED99HED*+_05042016162312_8992754,No
2265545,Whirlpool,WGD9500EC*,WGD9500EC*,,8,Gas,,,8.2,41,29,33,3.48,687,61,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WGD9500EC*_04282016200554_3954361,No
2265546,Whirlpool,WGD9500EW*,WGD9500EW*,,8,Gas,,,8.2,41,29,33,3.48,687,61,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Sanitization cycle,Filter cleaning indicator",Vented,No,,,,,No,,6/1/2016,4/28/2016,United States,ES_22856_WGD9500EW*_04282016200744_4064326,No
2266025,Whirlpool,YWED9290FC*,YWED9290FC*,,8.83E+11,Electric,Hybrid Heat Pump,,7.4,38,27,31,4.5,531,75,"NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Drum light,Supplementary Drying System,Time remaining display,Wrinkle prevention option,Other,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,4.43,Yes,2265445,11/1/2015,4/28/2016,Canada,ES_22856_YWED9290FC*_05032016205935_9175921,Yes
2266026,Whirlpool,YWED9290FW*,YWED9290FW*,,8.83E+11,Electric,Hybrid Heat Pump,,7.4,38,27,31,4.5,531,75,"NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Drum light,Supplementary Drying System,Time remaining display,Wrinkle prevention option,Other,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,4.43,Yes,2265445,11/1/2015,4/28/2016,Canada,ES_22856_YWED9290FW*_05032016210322_9402003,Yes
2266047,Whirlpool,YWED92HEFBD*,YWED92HEFBD*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_BD_12072015113037_70054797,6/1/2016,4/28/2016,Canada,ES_22856_YWED92HEFBD*_05032016213738_1458621,No
2266048,Whirlpool,YWED92HEFC*,YWED92HEFC*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_C_12072015113037_70054797,6/1/2016,4/28/2016,Canada,ES_22856_YWED92HEFC*_05032016213948_1588459,No
2266049,Whirlpool,YWED92HEFU*,YWED92HEFU*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_U_12072015113037_70054797,6/1/2016,4/28/2016,Canada,ES_22856_YWED92HEFU*_05032016214232_1752405,No
2266050,Whirlpool,YWED92HEFW*,YWED92HEFW*,,8,Electric,,,7.4,38,27,31,3.93,608,73,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW92HEF**_12072015113037_70054797,6/1/2016,4/28/2016,Canada,ES_22856_YWED92HEFW*_05032016214652_2012327,No
2266055,Whirlpool,YWED9500EC*,YWED9500EC*,,8,Electric,,,9.2,41,29,33,3.93,608,74,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,Canada,ES_22856_YWED9500EC*_05032016230317_6597731,No
2266057,Whirlpool,YWED9500EC*,YWED9500EC*,,8,Electric,,,9.2,41,29,33,3.93,608,74,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,Canada,ES_22856_YWED9500EC*_05032016231750_7470657,No
2266056,Whirlpool,YWED9500EW*,YWED9500EW*,,8,Electric,,,9.2,41,29,33,3.93,608,74,"ECOBOOST, MIXED + NORMAL CYCLE, AUTOMATIC TERMINATION, HIGH HEAT, MID-POINT DRYNESS LEVEL.","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,No,,6/1/2016,4/28/2016,Canada,ES_22856_YWED9500EW*_05032016230704_6824616,No
2266093,Whirlpool,YWED95HED*+,YWED95HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW95HED*+_03252014114036_2713436,6/1/2016,4/28/2016,Canada,ES_22856_YWED95HED*+_05042016152513_5513859,No
2266094,Whirlpool,YWED97HED*+,YWED97HED*+,,8,Electric,,,7.3,38,27,30,3.93,608,65,"ECO NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL","Drum light,Time remaining display,Wrinkle prevention option,Other,Steam cycle,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,ES_0022856_WFW97HED*+_05212014112855_2728484,6/1/2016,4/28/2016,Canada,ES_22856_YWED97HED*+_05042016153710_6230752,No
2266097,Whirlpool,YWED99HED*+,YWED99HED*+,,8,Electric,,,7.3,38,27,30,4.5,531,71,"ECO, NORMAL CYCLE, AUTOMATIC TERMINATION, MEDIUM HEAT, NORMAL DRYNESS LEVEL",Other,Vented,No,,,,,No,,6/1/2016,4/28/2016,Canada,ES_22856_YWED99HED*+_05042016161734_8654607,No
2278429,Whirlpool,YWHD3090G**,YWHD3090G**,,8,Electric,,240,4.3,34,24,25,3.71,229,66,"NORMAL CYCLE, AUTOMATIC TERMINATION, NORMAL / DRY - DRYNESS LEVEL","Time remaining display,Steam cycle,Other",Ventless,No,,,,,Yes,2276477,8/26/2016,9/2/2016,Canada,ES_22856_YWHD3090G**_09022016222153_4913531,No
2278397,Whirlpool,YWHD5090G**,YWHD5090G**,,8,Electric,,240,4.3,34,24,25,3.71,229,64,"NORMAL CYCLE, AUTOMATIC TERMINATION, NORMAL / DRY - DRYNESS LEVEL","Time remaining display,Steam cycle,Other",Ventless,No,,,,,Yes,WFW5090G**,8/26/2016,9/2/2016,Canada,ES_1129244_YWHD5090G**_09022016215957_3597696,No
