ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2296798,Agostino,AUF-1710W,",AUF-1710S,",Upright Freezer,Automatic,No,No,17,29.6,438,483,5/25/2017,5/26/2017,"United States, Canada",ES_1139679_AUF-1710W_05312017043559_5359719
2296799,Agostino,AUF-2110W,",AUF-2110S,",Upright Freezer,Automatic,No,No,21,37,492,547,5/25/2017,5/26/2017,"United States, Canada",ES_1139679_AUF-2110W_05312017043832_5512218
2222795,Amana,AZB33X18D*,,Upright Freezer,Automatic,No,No,17.7,31.2,447,497,11/10/2014,10/9/2014,"United States, Canada",ES_0022856_AZB33X18D*_10142014101026_2769601
2223895,Amana,AZB33X20D*,,Upright Freezer,Automatic,No,No,19.7,34.6,473,527,11/24/2014,10/29/2014,"United States, Canada",ES_0022856_AZB33X20D*_10292014105615_2774957
2300584,Arctic Fresh,AFW35AFFW,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,7/14/2017,7/14/2017,United States,ES_1139819_AFW35AFFW_07262017114214_9334207
2301186,Arctic Fresh,AFW50AFFW,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,7/14/2017,7/14/2017,United States,ES_1139819_AFW50AFFW_07262017115301_9981105
2300587,Arctic Fresh,AFW70AFFW,,Chest Freezer,Manual,Yes,No,7,12.3,224,251,7/14/2017,7/14/2017,United States,ES_1139819_AFW70AFFW_07262017114900_9740879
2291926,Arctic King,ACFM102ADW,",ACFM102ADOT,",Chest Freezer,Manual,No,No,10.2,18,214,239,3/15/2017,3/6/2017,"United States, Canada",ES_1030337_ACFM102ADW_03062017084054_9654106
2210429,Arctic King,AUFM021AEW,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,4/25/2014,3/20/2014,United States,ES_1030337_AUFM021AEW_05052014233909_3149145
2294817,Arctic King,WHS-129C1W,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,4/20/2017,4/24/2017,"United States, Canada",ES_1030337_WHS-129C1W_04242017040327_70130447
2255903,Arctic King,WHS-129C1WSB,"Freezer,WHS-129C1WSB,",Upright Freezer,Manual,Yes,No,3,5.3,240,272,1/1/2016,12/31/2015,"United States, Canada",ES_1030337_WHS-129C1WSB_12312015063455_3695718
2294818,Arctic King,WHS-185C1W,,Chest Freezer,Manual,Yes,No,5,8.8,196,218,4/20/2017,4/24/2017,"United States, Canada",ES_1030337_WHS-185C1W_04242017040327_70130447
2241998,AVANTGARDE,EVC137W,,Upright Freezer,Automatic,No,No,13.7,24.1,391,436,6/18/2015,6/18/2015,"United States, Canada",ES_1125680_EVC137W_06172015020000_70036683
2255167,Avanti,CF24Q0W,,Chest Freezer,Manual,Yes,No,2.5,4.4,137,178,1/15/2016,12/18/2015,United States,ES_92257_CF24Q0W_12082015163635_6507379
2269183,Avanti,CF35B0W,",CF35B2P,",Chest Freezer,Manual,Yes,No,3.5,6.1,172,193,6/1/2016,6/6/2016,"United States, Canada",ES_92257_CF35B0W_06012016171235_4110071
2269355,Avanti,CF50B0W,,Chest Freezer,Manual,Yes,No,5,8.9,195,219,6/10/2016,6/6/2016,"United States, Canada",ES_92257_CF50B0W_06022016150315_5814630
2235015,Avanti,CF70B0W,,Chest Freezer,Manual,Yes,No,7,12.4,224,252,4/15/2015,3/20/2015,"United States, Canada",ES_92257_CF70B0W_03192015134537_448266
2293207,Avanti,VF58B0W,,Upright Freezer,Manual,Yes,No,5.8,10.2,281,314,3/6/2017,3/17/2017,"United States, Canada",ES_92257_VF58B0W_03132017155807_6964227
2292433,BLACK DECKER,BUFK12W,,Upright Freezer,Manual,Yes,No,1.2,2.1,201,244,3/10/2017,3/6/2017,United States,ES_1126481_BUFK12W_03132017065255_2775232
2247949,Bosch,B18IF800SP,,Upright Freezer,Automatic,No,Yes,8.6,15.2,443,495,9/11/2015,9/11/2015,"United States, Canada",ES_0031649_B18IF800SP23847_KISDF18US_2737291
2303323,Bosch,B18IF900SP,",,Network Communication",Upright Freezer,Automatic,No,Yes,8.6,15.1,418,494,9/1/2017,3/6/2017,"United States, Canada",ES_0031649_B18IF900SP_03082017044344_70122368
2250041,Commercial Cool,CCUK12W,,Upright Freezer,Manual,Yes,No,1.2,2.1,201,244,10/10/2015,10/10/2015,"United States, Canada",ES_1126481_CCUK12W_10122015065255_2775232
2220965,Crosley,CFUFH17QW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_CFUFH17QW*10012014013337_70012088
2304849,Crosley,CFUFH17TW0,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,12/11/2017,10/6/2017,"United States, Canada",ES_1021080_CFUFH17TW0_10112017032824_70158493
2220970,Crosley,CFUFH21QW*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_CFUFH21QW*10012014013337_70012088
2261242,Crosley,CFUFH21RC*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,8/10/2015,7/22/2015,"United States, Canada",ES_1021080_CFUFH21RC*_03022016064141_70040185
2304850,Crosley,CFUFH21TW0,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,12/11/2017,10/6/2017,"United States, Canada",ES_1021080_CFUFH21TW0_10112017032824_70158493
2260216,Crosley,CFUFHC17SW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,2/15/2016,2/10/2015,"United States, Canada",ES_92264_CFUFHC17SW*_02172016015722_70064350
2220971,Crosley,CFUFHC21QW*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_CFUFHC21QW*10012014013337_70012088
2304851,Crosley,CFUFHC21TW0,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,12/11/2017,10/6/2017,"United States, Canada",ES_1021080_CFUFHC21TW0_10112017032824_70158493
2293046,Dacor,DRZ18980***,,Upright Freezer,Automatic,No,Yes,9.5,16.7,465,510,4/20/2017,3/24/2017,"United States, Canada",ES_1016518_DRZ18980***_03242017112645_70128926
2292830,Dacor,DRZ24980***,,Upright Freezer,Automatic,No,Yes,13.6,23.9,500,581,3/28/2017,3/22/2017,"United States, Canada",ES_1016518_DRZ24980***_03222017113716_70128313
2290228,Dacor,DRZ30980***,,Upright Freezer,Automatic,No,Yes,17.6,31,550,651,2/28/2017,1/26/2017,"United States, Canada",ES_1016518_DRZ30980***_02082017105714_70119350
2293045,Dacor,DRZ36980***,,Upright Freezer,Automatic,No,Yes,21.4,37.7,580,717,4/20/2017,3/24/2017,"United States, Canada",ES_1016518_DRZ36980***_03242017112645_70128468
2306341,Danby,DUF140E1*,,Upright Freezer,Automatic,No,No,13.8,24.3,394,438,10/15/2017,11/9/2017,"United States, Canada",ES_31682_DUF140E1*_11132017123230_6350872
2218449,Danby Designer,DCF051A1*,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DCF051A1*_07222014114047_2736942
2218452,Danby Designer,DCF096A1*,,Chest Freezer,Manual,No,No,9.6,16.9,206,231,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DCF096A1*_07222014114047_2736942
2250121,Danby Designer,DUF138E1WDD,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,10/13/2015,9/21/2015,"United States, Canada",ES_0031682_DUF138E1WDD_09302015120456_70047172
2306340,Danby Designer,DUF140E1*,,Upright Freezer,Automatic,No,No,13.8,24.3,394,438,10/15/2017,11/9/2017,"United States, Canada",ES_31682_DUF140E1*_11132017123132_6292427
2220988,Kenmore,253.27009*,,Upright Freezer,Automatic,No,No,20.5,36.1,484,539,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.27009*10012014013337_70012088
2220983,Kenmore,253.27702*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_253.27702*10012014013337_70012088
2220989,Kenmore,970F22453*,,Upright Freezer,Automatic,No,No,13.8,24.3,393,438,9/15/2014,9/25/2014,"United States, Canada",ES_1021080_970F22453*10012014013337_70012088
2270476,Kenmore,970F27012*,,Upright Freezer,Automatic,No,No,13.8,24.3,393,438,7/17/2016,6/22/2016,"United States, Canada",ES_1021080_970F27012*_06232016122716_70084306
2285551,KOOLATRON,KTUF88,,Upright Freezer,Manual,Yes,No,3,5.3,240,272,11/20/2016,12/6/2016,Canada,ES_1137414_KTUF88_12062016121522_6522285
2235136,Liebherr,F 1051,,Upright Freezer,Automatic,No,Yes,9.4,16.6,465,509,12/1/2014,11/3/2014,"United States, Canada",ES_1017655_F 1051_03262015113425_2776970
2222447,Liebherr,HF 861,,Upright Freezer,Automatic,No,Yes,7.8,13.7,439,480,10/6/2014,9/22/2014,"United States, Canada",ES_1017655_HF 861_10022014105208_2767851
2269783,Marathon,MCF35W,",MCF35BL,; ,MCF35BLS,",Chest Freezer,Manual,Yes,No,3.5,6.1,172,193,6/10/2016,6/15/2016,Canada,ES_1137295_MCF35W_06122016113245_989343
2300586,Marathon,MCF35W-1,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_MCF35W-1_07262017114236_9356713
2301188,Marathon,MCF50W,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_MCF50W_07262017115324_0004277
2269356,Marathon,MCF51W,",MCF51BL,; ,MCF51BLS,",Chest Freezer,Manual,Yes,No,5,8.9,195,219,6/10/2016,6/6/2016,Canada,ES_1137295_MCF51W_06022016151006_2567407
2300589,Marathon,MCF70GRD,,Chest Freezer,Manual,Yes,No,7,12.3,224,251,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_MCF70GRD_07262017115022_9822185
2300590,Marathon,MCF70W,,Chest Freezer,Manual,Yes,No,7,12.3,224,251,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_MCF70W_07262017115033_9833642
2271907,Marathon,MCF71W,",MCF71BLS,",Chest Freezer,Manual,Yes,No,7,12.4,224,252,7/5/2016,7/6/2016,Canada,ES_1137295_MCF71W_07052016165103_7388574
2269043,Marathon,MUF65W,"Freezers,MUF65BLS,",Upright Freezer,Manual,Yes,No,6.3,11.1,289,322,5/15/2016,6/6/2016,Canada,ES_1137295_MUF65W_06062016024820_1300857
2262210,Marvel,ML24FAP***,,Upright Freezer,Automatic,Yes,No,4.6,8,351,433,2/16/2016,3/2/2016,"United States, Canada",ES_1100125_ML24FAP***03102016055320_70065799
2262209,Marvel,ML24FAS***,,Upright Freezer,Automatic,Yes,No,4.7,8.3,305,436,2/16/2016,3/2/2016,"United States, Canada",ES_1100125_ML24FAS***03102016055320_70065799
2272221,Marvel,MO24FAS***,,Upright Freezer,Automatic,Yes,No,4.7,8.3,324,436,6/30/2016,6/30/2016,"United States, Canada",ES_1100125_MO24FAS***_07122016045316_70086657
2262211,Marvel,MP24FAP***,,Upright Freezer,Automatic,Yes,No,4.6,8,351,433,2/16/2016,3/2/2016,"United States, Canada",ES_1100125_MP24FAP***03102016055320_70065799
2262212,Marvel,MP24FAS***,,Upright Freezer,Automatic,Yes,No,4.6,8,340,433,2/16/2016,3/2/2016,"United States, Canada",ES_1100125_MP24FAS***03102016055320_70065799
2284115,Master Chef,043-0292-2,,Chest Freezer,Manual,Yes,No,3.5,3.5,172,169,12/1/2016,11/14/2016,Canada,ES_1025242_043-0292_11102016020928_70106582
2284116,Master Chef,043-0293-0,,Chest Freezer,Manual,Yes,No,5,5,195,183,12/1/2016,11/14/2016,Canada,ES_1025242_043-0293_11102016020928_70106582
2285302,Master Chef,043-2352-8,,Upright Freezer,Manual,Yes,No,3,5.3,240,272,12/19/2013,12/1/2016,Canada,ES_1025242_043-2352-8_12022016111118_7078043
2306410,Midea,3730-937,,Upright Freezer,Automatic,No,No,13.8,24.3,394,438,11/10/2017,11/13/2017,"United States, Canada",ES_1030337_3730-937_11142017074346_5426050
2216666,Midea,HS502FW-2,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/25/2014,7/2/2014,"United States, Canada",ES_1030337_HS502FW-2_07072014114523_2739814
2216667,Midea,HS-502FWE(SZ),,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/25/2014,7/2/2014,"United States, Canada",ES_1030337_HS-502FWE(SZ)_07072014114523_2739814
2285115,Midea,URBD142E,,Chest Freezer,Manual,Yes,No,5,8.8,195,218,11/25/2016,11/24/2016,"United States, Canada",ES_1030337_URBD142E _11242016011332_70109145
2285116,Midea,URBD99DE,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,11/25/2016,11/24/2016,"United States, Canada",ES_1030337_URBD99DE_11242016011332_70109145
2210471,Midea,WHS-109FW1,"Freezers,WHS-109FB1,; Freezers,WHS-109FSS1,",Upright Freezer,Manual,Yes,No,3,5.3,240,272,4/30/2014,4/23/2014,United States,ES_1030337_WHS-109FW1_05062014020144_1704311
2216664,Midea,WHS-502FWEB1(E),,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/25/2014,7/2/2014,"United States, Canada",ES_1030337_WHS-502FWEB1(E)_07072014114523_2739814
2216665,Midea,WHS-502FWESS1(E),,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/25/2014,7/2/2014,"United States, Canada",ES_1030337_WHS-502FWESS1(E)_07072014114523_2739814
2216668,Midea,WHS-502FWEW1(E),,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,7/25/2014,7/2/2014,"United States, Canada",ES_1030337_WHS-502FWEW1(E) _07072014114523_2739814
2302996,Midea,WHS-507FWEW1,",WHS-507FWEB1,; ,WHS-507FWESS1,",Upright Freezer,Automatic,No,No,13.8,24.3,394,438,8/30/2017,8/31/2017,"United States, Canada",ES_1030337_WHS-507FWEW1_08312017103427_5667485
2210213,Midea,WHS-52FB1,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,5/9/2014,5/8/2014,"United States, Canada",ES_1030337_WHS-52FB1_04282014101217_2721653
2210214,Midea,WHS-52FSS1,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,5/9/2014,5/8/2014,"United States, Canada",ES_1030337_WHS-52FSS1_04282014101218_2721653
2210212,Midea,WHS-52FW1,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,5/9/2014,5/8/2014,"United States, Canada",ES_1030337_WHS-52FW1_04282014101216_2721653
2291786,Midea,WHS-625FWEW1,",WHS-625FWEB1, WHS-625FWESS1,",Upright Freezer,Automatic,No,No,17,29.6,438,483,2/10/2017,2/23/2017,"United States, Canada",ES_1030337_WHS-625FWEW1_03022017062847_6127747
2269041,Midea,WHS-75FW1,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,5/10/2016,6/1/2016,"United States, Canada",ES_1030337_WHS-75FW1_06062016070606_6766428
2291785,Midea,WHS-772FWEW1,",WHS-772FWEB1, WHS-772FWESS1,",Upright Freezer,Automatic,No,No,21,37,492,547,2/10/2017,2/23/2017,"United States, Canada",ES_1030337_WHS-772FWEW1_03022017062907_6147719
2292580,Danby Designer,DUF206E1*,,Upright Freezer,Automatic,No,No,21,37,492,547,3/5/2017,3/16/2017,"United States, Canada",ES_31682_DUF206E1*_03162017082013_2413623
2215466,Danby Designer,DUFM026B1*,,Upright Freezer,Manual,Yes,No,2.6,4.7,237,266,7/2/2014,7/14/2014,Canada,ES_31682_DUFM026B1*_07082014155558_8597375
2218453,Danby Designer,DUFM043A1*,,Upright Freezer,Manual,Yes,No,4.3,7.6,260,291,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DUFM043A1*_07222014114047_2736942
2273718,Danby Designer,DUFM059C1*,,Upright Freezer,Manual,Yes,No,5.9,10.4,256,316,7/20/2016,7/6/2016,"United States, Canada",ES_0031682_DUFM059C1*_07142016105701_70087492
2218455,Danby Designer,DUFM101A1*,,Upright Freezer,Manual,No,No,10.1,17.8,261,293,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DUFM101A1*_07222014114047_2736942
2288908,“Danby Designer” or “Danby”,DCF051A2*,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,1/30/2017,1/3/2017,"United States, Canada",ES_0031682_DCF051A2*_01032017024918_70111997
2288903,“Danby Designer” or “Danby”,DCF071A4*,,Chest Freezer,Manual,Yes,No,7.1,12.5,225,252,1/30/2017,1/3/2017,"United States, Canada",ES_0031682_DCF071A4*_01032017024918_70111997
2288904,“Danby Designer” or “Danby”,DCF096A2*,,Chest Freezer,Manual,No,No,9.6,16.9,206,231,1/30/2017,1/3/2017,"United States, Canada",ES_0031682_DCF096A2*_01032017024918_70111997
2218450,Danby Designer or Danby,DCF071A3*,,Chest Freezer,Manual,Yes,No,7.1,12.5,225,252,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DCF071A3*_07222014114047_2736942
2301260,“Danby Designer” or “Danby”or “Danby Premiere ”,DUFM071A1*,,Upright Freezer,Manual,Yes,No,7.1,12.5,298,334,8/2/2017,6/26/2017,"United States, Canada",ES_0031682_DUFM071A1*_08022017035906_70142510
2218454,Danby Designer or Danby Premiere,DUFM085A2*,,Upright Freezer,Manual,No,No,8.5,15,247,277,9/6/2014,7/25/2014,"United States, Canada",ES_0031682_DUFM085A2*_07222014114047_2736942
2307586,Danby or Danby Designer or Danby Premiere or Simplicity,DCF051A3*,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF051A3*_12012017104808_70163948
2307587,Danby or Danby Designer or Danby Premiere or Simplicity,DCF071A5*,,Chest Freezer,Manual,Yes,No,7.1,12.5,225,252,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF071A5*_12012017104806_70163948
2307581,Danby or Danby Designer or Danby Premiere or Simplicity,DCF096A3*,,Chest Freezer,Manual,No,No,9.6,16.9,206,231,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DCF096A3*_12012017104804_70163948
2307582,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM043A2*,,Upright Freezer,Manual,Yes,No,4.3,7.6,260,291,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM043A2*_12012017104802_70163948
2307588,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM071A2*.,,Upright Freezer,Manual,Yes,No,7.1,12.5,298,334,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM071A2*._12012017104805_70163948
2307583,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM085A3*,,Upright Freezer,Manual,No,No,8.5,15,247,277,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM085A3*_12012017104803_70163948
2307584,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM085A4*,,Upright Freezer,Manual,No,No,8.5,15,247,277,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM085A4*_12012017104801_70163948
2307585,Danby or Danby Designer or Danby Premiere or Simplicity,DUFM101A1*,,Upright Freezer,Manual,No,No,10.1,17.8,261,293,12/12/2017,11/30/2017,"United States, Canada",ES_0031682_DUFM101A1*_12012017104807_70163948
2208038,Edgestar,CMF151L-1,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,7/10/2014,3/31/2014,"United States, Canada",ES_1074063_CMF151L-1_03182014035110_2711219
2208039,Edgestar,CRF150SS-1,,Upright Freezer,Manual,Yes,No,1.1,1.9,215,242,7/10/2014,3/31/2014,"United States, Canada",ES_1074063_CRF150SS-1_03182014035111_2711219
2303490,ELLIPSE,EDV166W,",EDV166S,",Upright Freezer,Automatic,No,No,17,29.6,438,483,9/5/2017,9/8/2017,"United States, Canada",ES_1125680_EDV166W_09122017091145_7505892
2306047,Emerald Chef,FR-14UPESW,",FR-14UPESSS,",Upright Freezer,Automatic,No,No,13.8,24.3,394,438,10/15/2017,11/6/2017,"United States, Canada",ES_1128872_FR-14UPESW_11072017055741_4261229
2268427,Emerald Chef,FR-14UPSS,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,6/1/2016,6/1/2016,"United States, Canada",ES_1128872_FR-14UPSS_06012016030319_70076734
2268426,Emerald Chef,FR-14UPW,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,6/1/2016,6/1/2016,"United States, Canada",ES_1128872_FR-14UPW_06012016030319_70076734
2306046,Emerald Chef,FR-17UPESW,",FR-17UPESSS,",Upright Freezer,Automatic,No,No,17,29.6,438,483,10/15/2017,10/19/2017,"United States, Canada",ES_1128872_FR-17UPESW_11072017055632_4192060
2256124,Emerald Chef,FR-55WES,,Chest Freezer,Manual,Yes,No,5.1,9,172,220,12/30/2015,1/5/2016,"United States, Canada",ES_1128872_FR-55WES_01052016082100_2060154
2256126,Emerald Chef,FR-75WES,,Chest Freezer,Manual,Yes,No,7.1,12.3,198,251,12/30/2015,1/5/2016,"United States, Canada",ES_1128872_FR-75WES_01052016082211_2131713
2300585,EPIC,ECF35W-1,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_ECF35W-1_07262017114225_9345740
2301187,EPIC,ECF50W,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_ECF50W_07262017115313_9993178
2300588,EPIC,ECF70W,,Chest Freezer,Manual,Yes,No,7,12.3,224,251,7/14/2017,7/13/2017,"United States, Canada",ES_1137295_ECF70W_07262017114956_9796507
2220168,Equator,FR 502-650 SS,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,9/24/2014,8/6/2014,"United States, Canada",ES_0040188_FR 502-650 SS_08292014121414_70009788
2220169,Equator,FR 502-650 W,,Upright Freezer,Automatic,No,No,13.8,24.3,391,438,9/24/2014,8/6/2014,"United States, Canada",ES_0040188_FR 502-650 W_08292014121414_70009788
2275448,EuroDesign,EDV064S,,Upright Freezer,Manual,Yes,No,6.3,11.1,289,322,8/15/2016,8/16/2016,Canada,ES_1125680_EDV064S_08172016035134_5894744
2216934,Fisher & Paykel,RB36S,,Upright Freezer,Automatic,Yes,No,3.7,6.5,300,418,8/14/2014,7/14/2014,"United States, Canada",ES_31708_RB36S_08012014195535_2935368
2266698,Frigidaire,BKFH17F1SW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,5/9/2016,5/9/2016,"United States, Canada",ES_1021080_BKFH17F1SW*_05132016041445_70077657
2242001,Frigidaire,CFFH17F1RW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,6/22/2015,6/17/2015,"United States, Canada",ES_1021080_CFFH17F1RW*_06222015061714_70036140
2244473,Frigidaire,CFFH17F1RW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,6/29/2015,6/17/2015,"United States, Canada",ES_1021080_CFFH17F1RW*_07262015035412_70040185
2304848,Frigidaire,CFFH17F1TW0,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,10/16/2017,10/6/2017,"United States, Canada",ES_1021080_CFFH17F1TW0_10112017032824_70158493
2220981,Frigidaire,FFCH16M5QW*,,Chest Freezer,Manual,No,No,15.6,27.4,275,308,9/2/2014,9/25/2014,"United States, Canada",ES_1021080_FFCH16M5QW*10012014013337_70012088
2234547,Frigidaire,FFFH17F1RW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,3/2/2015,3/4/2015,"United States, Canada",ES_1021080_FFFH17F1RW*_03112015072806_70025812
2220962,Frigidaire,FFFH17F2QW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_FFFH17F2QW*10012014013337_70012088
2220961,Frigidaire,FFFH17F4QT*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_FFFH17F4QT*10012014013337_70012088
2220973,Frigidaire,FFFH17F4QW*,,Upright Freezer,Automatic,No,No,16.6,29.3,431,481,9/8/2014,9/25/2014,"United States, Canada",ES_1021080_FFFH17F4QW*10012014013337_70012088
